
  XN      Y(EXACT)   EULER(YN)  EULER_MOD(YN)  ERR(EULER) ERR(EULER_MOD)
  0.000000     0.20000     0.20000     0.20000     0.00000     0.00000
  0.010000     0.20004     0.20000     0.20004     0.00004     0.00000
  0.020000     0.20016     0.20008     0.20016     0.00008     0.00000
  0.030000     0.20036     0.20024     0.20036     0.00012     0.00000
  0.040000     0.20064     0.20048     0.20064     0.00016     0.00000
  0.050000     0.20100     0.20080     0.20100     0.00020     0.00000
  0.060000     0.20145     0.20120     0.20145     0.00024     0.00000
  0.070000     0.20197     0.20169     0.20197     0.00028     0.00000
  0.080000     0.20258     0.20225     0.20258     0.00033     0.00000
  0.090000     0.20327     0.20290     0.20327     0.00037     0.00000
  0.100000     0.20404     0.20363     0.20404     0.00041     0.00000
  0.110000     0.20490     0.20444     0.20490     0.00046     0.00000
  0.120000     0.20584     0.20534     0.20584     0.00050     0.00000
  0.130000     0.20688     0.20633     0.20688     0.00055     0.00000
  0.140000     0.20800     0.20740     0.20800     0.00060     0.00000
  0.150000     0.20921     0.20856     0.20921     0.00064     0.00000
  0.160000     0.21051     0.20981     0.21051     0.00069     0.00000
  0.170000     0.21190     0.21116     0.21190     0.00074     0.00000
  0.180000     0.21339     0.21259     0.21339     0.00080     0.00000
  0.190000     0.21497     0.21412     0.21497     0.00085     0.00000
  0.200000     0.21666     0.21575     0.21666     0.00091     0.00000
  0.210000     0.21844     0.21748     0.21844     0.00097     0.00000
  0.220000     0.22033     0.21930     0.22033     0.00103     0.00000
  0.230000     0.22232     0.22123     0.22232     0.00109     0.00000
  0.240000     0.22442     0.22327     0.22442     0.00115     0.00000
  0.250000     0.22663     0.22541     0.22663     0.00122     0.00000
  0.260000     0.22895     0.22767     0.22895     0.00129     0.00000
  0.270000     0.23139     0.23003     0.23139     0.00136     0.00000
  0.280000     0.23395     0.23252     0.23395     0.00143     0.00000
  0.290000     0.23663     0.23512     0.23663     0.00151     0.00000
  0.300000     0.23944     0.23785     0.23944     0.00159     0.00000
  0.310000     0.24238     0.24070     0.24238     0.00168     0.00000
  0.320000     0.24546     0.24369     0.24546     0.00177     0.00000
  0.330000     0.24867     0.24681     0.24867     0.00186     0.00000
  0.340000     0.25202     0.25007     0.25202     0.00196     0.00000
  0.350000     0.25552     0.25347     0.25552     0.00206     0.00000
  0.360000     0.25918     0.25701     0.25918     0.00216     0.00000
  0.370000     0.26299     0.26072     0.26299     0.00227     0.00000
  0.380000     0.26696     0.26457     0.26696     0.00239     0.00000
  0.390000     0.27111     0.26860     0.27111     0.00251     0.00000
  0.400000     0.27543     0.27279     0.27542     0.00264     0.00000
  0.410000     0.27992     0.27715     0.27992     0.00277     0.00000
  0.420000     0.28461     0.28170     0.28461     0.00291     0.00000
  0.430000     0.28949     0.28643     0.28949     0.00306     0.00000
  0.440000     0.29457     0.29135     0.29457     0.00322     0.00000
  0.450000     0.29986     0.29648     0.29986     0.00338     0.00000
  0.460000     0.30537     0.30182     0.30536     0.00355     0.00000
  0.470000     0.31110     0.30737     0.31110     0.00373     0.00000
  0.480000     0.31707     0.31315     0.31706     0.00392     0.00000
  0.490000     0.32328     0.31916     0.32327     0.00412     0.00001
  0.500000     0.32974     0.32542     0.32974     0.00432     0.00001
  0.510000     0.33647     0.33193     0.33647     0.00455     0.00001
  0.520000     0.34348     0.33870     0.34347     0.00478     0.00001
  0.530000     0.35077     0.34574     0.35076     0.00502     0.00001
  0.540000     0.35835     0.35307     0.35834     0.00528     0.00001
  0.550000     0.36625     0.36070     0.36624     0.00555     0.00001
  0.560000     0.37447     0.36864     0.37446     0.00584     0.00001
  0.570000     0.38303     0.37689     0.38302     0.00614     0.00001
  0.580000     0.39194     0.38549     0.39193     0.00646     0.00001
  0.590000     0.40122     0.39443     0.40121     0.00679     0.00001
  0.600000     0.41089     0.40374     0.41087     0.00715     0.00001
  0.610000     0.42095     0.41343     0.42094     0.00752     0.00002
  0.620000     0.43144     0.42352     0.43142     0.00792     0.00002
  0.630000     0.44236     0.43402     0.44234     0.00834     0.00002
  0.640000     0.45374     0.44496     0.45372     0.00878     0.00002
  0.650000     0.46560     0.45635     0.46557     0.00925     0.00002
  0.660000     0.47796     0.46821     0.47793     0.00974     0.00002
  0.670000     0.49084     0.48057     0.49081     0.01027     0.00003
  0.680000     0.50427     0.49345     0.50424     0.01082     0.00003
  0.690000     0.51828     0.50687     0.51825     0.01141     0.00003
  0.700000     0.53289     0.52086     0.53286     0.01203     0.00003
  0.710000     0.54813     0.53545     0.54810     0.01269     0.00004
  0.720000     0.56404     0.55065     0.56400     0.01338     0.00004
  0.730000     0.58063     0.56651     0.58059     0.01412     0.00004
  0.740000     0.59796     0.58306     0.59791     0.01490     0.00005
  0.750000     0.61604     0.60031     0.61599     0.01573     0.00005
  0.760000     0.63493     0.61832     0.63488     0.01661     0.00006
  0.770000     0.65466     0.63712     0.65460     0.01754     0.00006
  0.780000     0.67527     0.65674     0.67521     0.01853     0.00007
  0.790000     0.69681     0.67723     0.69674     0.01958     0.00007
  0.800000     0.71933     0.69863     0.71925     0.02069     0.00008
  0.810000     0.74287     0.72099     0.74278     0.02188     0.00008
  0.820000     0.76748     0.74435     0.76739     0.02313     0.00009
  0.830000     0.79323     0.76877     0.79313     0.02447     0.00010
  0.840000     0.82017     0.79429     0.82007     0.02589     0.00011
  0.850000     0.84837     0.82098     0.84825     0.02739     0.00012
  0.860000     0.87789     0.84889     0.87776     0.02900     0.00013
  0.870000     0.90879     0.87809     0.90866     0.03070     0.00014
  0.880000     0.94116     0.90865     0.94101     0.03251     0.00015
  0.890000     0.97508     0.94063     0.97492     0.03444     0.00016
  0.900000     1.01062     0.97412     1.01044     0.03650     0.00017
  0.910000     1.04787     1.00919     1.04768     0.03868     0.00019
  0.920000     1.08694     1.04592     1.08673     0.04101     0.00021
  0.930000     1.12791     1.08441     1.12768     0.04349     0.00022
  0.940000     1.17089     1.12475     1.17065     0.04613     0.00024
  0.950000     1.21599     1.16704     1.21573     0.04895     0.00026
  0.960000     1.26334     1.21139     1.26306     0.05195     0.00028
  0.970000     1.31306     1.25791     1.31276     0.05515     0.00031
  0.980000     1.36528     1.30672     1.36495     0.05857     0.00033
  0.990000     1.42015     1.35794     1.41979     0.06221     0.00036
  1.000000     1.47781     1.41171     1.47742     0.06610     0.00039
