
  XN      Y(EXACT)   EULER(YN)  EULER_MOD(YN)  ERR(EULER) ERR(EULER_MOD)
  0.000000     1.00000     1.00000     1.00000     0.00000     0.00000
  0.010000     1.00020     1.00000     1.00040     0.00020     0.00020
  0.020000     1.00080     1.00080     1.00160     0.00000     0.00080
  0.030000     1.00180     1.00240     1.00360     0.00060     0.00180
  0.040000     1.00320     1.00480     1.00641     0.00160     0.00321
  0.050000     1.00500     1.00801     1.01002     0.00301     0.00502
  0.060000     1.00720     1.01202     1.01445     0.00482     0.00725
  0.070000     1.00980     1.01685     1.01969     0.00705     0.00989
  0.080000     1.01280     1.02249     1.02576     0.00969     0.01296
  0.090000     1.01620     1.02896     1.03266     0.01276     0.01646
  0.100000     1.02000     1.03625     1.04040     0.01625     0.02040
  0.110000     1.02420     1.04439     1.04898     0.02019     0.02478
  0.120000     1.02880     1.05337     1.05843     0.02457     0.02963
  0.130000     1.03380     1.06321     1.06874     0.02941     0.03494
  0.140000     1.03920     1.07392     1.07993     0.03472     0.04073
  0.150000     1.04500     1.08551     1.09202     0.04051     0.04702
  0.160000     1.05120     1.09800     1.10501     0.04680     0.05381
  0.170000     1.05780     1.11139     1.11893     0.05359     0.06113
  0.180000     1.06480     1.12570     1.13379     0.06090     0.06899
  0.190000     1.07220     1.14095     1.14960     0.06875     0.07740
  0.200000     1.08000     1.15716     1.16639     0.07716     0.08639
  0.210000     1.08820     1.17433     1.18417     0.08613     0.09597
  0.220000     1.09680     1.19250     1.20296     0.09570     0.10616
  0.230000     1.10580     1.21167     1.22278     0.10587     0.11698
  0.240000     1.11520     1.23188     1.24365     0.11668     0.12845
  0.250000     1.12500     1.25314     1.26560     0.12814     0.14060
  0.260000     1.13520     1.27547     1.28866     0.14027     0.15346
  0.270000     1.14580     1.29889     1.31283     0.15309     0.16703
  0.280000     1.15680     1.32344     1.33816     0.16664     0.18136
  0.290000     1.16820     1.34913     1.36466     0.18093     0.19646
  0.300000     1.18000     1.37600     1.39237     0.19600     0.21237
  0.310000     1.19220     1.40406     1.42131     0.21186     0.22911
  0.320000     1.20480     1.43335     1.45150     0.22855     0.24670
  0.330000     1.21780     1.46389     1.48299     0.24609     0.26519
  0.340000     1.23120     1.49572     1.51581     0.26452     0.28461
  0.350000     1.24500     1.52886     1.54997     0.28386     0.30497
  0.360000     1.25920     1.56335     1.58553     0.30415     0.32633
  0.370000     1.27380     1.59922     1.62251     0.32542     0.34871
  0.380000     1.28880     1.63650     1.66094     0.34770     0.37214
  0.390000     1.30420     1.67523     1.70087     0.37103     0.39667
  0.400000     1.32000     1.71544     1.74233     0.39544     0.42233
  0.410000     1.33620     1.75716     1.78535     0.42096     0.44915
  0.420000     1.35280     1.80045     1.82998     0.44765     0.47718
  0.430000     1.36980     1.84532     1.87626     0.47552     0.50646
  0.440000     1.38720     1.89183     1.92422     0.50463     0.53702
  0.450000     1.40500     1.94000     1.97392     0.53500     0.56892
  0.460000     1.42320     1.98989     2.02538     0.56669     0.60218
  0.470000     1.44180     2.04153     2.07866     0.59973     0.63686
  0.480000     1.46080     2.09497     2.13380     0.63417     0.67300
  0.490000     1.48020     2.15025     2.19085     0.67005     0.71065
  0.500000     1.50000     2.20741     2.24985     0.70741     0.74985
  0.510000     1.52020     2.26650     2.31085     0.74630     0.79065
  0.520000     1.54080     2.32757     2.37389     0.78677     0.83309
  0.530000     1.56180     2.39065     2.43904     0.82885     0.87724
  0.540000     1.58320     2.45581     2.50633     0.87261     0.92313
  0.550000     1.60500     2.52309     2.57582     0.91809     0.97082
  0.560000     1.62720     2.59253     2.64756     0.96533     1.02036
  0.570000     1.64980     2.66420     2.72161     1.01440     1.07181
  0.580000     1.67280     2.73814     2.79801     1.06534     1.12521
  0.590000     1.69620     2.81440     2.87683     1.11820     1.18063
  0.600000     1.72000     2.89304     2.95812     1.17304     1.23812
  0.610000     1.74420     2.97410     3.04194     1.22990     1.29774
  0.620000     1.76880     3.05766     3.12834     1.28886     1.35954
  0.630000     1.79380     3.14376     3.21739     1.34996     1.42359
  0.640000     1.81920     3.23246     3.30914     1.41326     1.48994
  0.650000     1.84500     3.32382     3.40366     1.47882     1.55866
  0.660000     1.87120     3.41789     3.50100     1.54669     1.62980
  0.670000     1.89780     3.51474     3.60124     1.61694     1.70344
  0.680000     1.92480     3.61443     3.70443     1.68963     1.77963
  0.690000     1.95220     3.71702     3.81064     1.76482     1.85844
  0.700000     1.98000     3.82257     3.91993     1.84257     1.93993
  0.710000     2.00820     3.93114     4.03237     1.92294     2.02417
  0.720000     2.03680     4.04281     4.14803     2.00601     2.11123
  0.730000     2.06580     4.15762     4.26698     2.09182     2.20118
  0.740000     2.09520     4.27566     4.38929     2.18046     2.29409
  0.750000     2.12500     4.39699     4.51502     2.27199     2.39002
  0.760000     2.15520     4.52167     4.64425     2.36647     2.48905
  0.770000     2.18580     4.64978     4.77706     2.46398     2.59126
  0.780000     2.21680     4.78138     4.91350     2.56458     2.69670
  0.790000     2.24820     4.91655     5.05367     2.66835     2.80547
  0.800000     2.28000     5.05535     5.19764     2.77535     2.91764
  0.810000     2.31220     5.19787     5.34547     2.88566     3.03327
  0.820000     2.34480     5.34416     5.49725     2.99936     3.15245
  0.830000     2.37780     5.49431     5.65306     3.11651     3.27526
  0.840000     2.41120     5.64840     5.81297     3.23720     3.40177
  0.850000     2.44500     5.80649     5.97707     3.36149     3.53207
  0.860000     2.47920     5.96866     6.14544     3.48946     3.66624
  0.870000     2.51380     6.13500     6.31815     3.62120     3.80435
  0.880000     2.54880     6.30558     6.49530     3.75678     3.94650
  0.890000     2.58420     6.48049     6.67696     3.89629     4.09276
  0.900000     2.62000     6.65979     6.86322     4.03979     4.24323
  0.910000     2.65620     6.84358     7.05417     4.18738     4.39797
  0.920000     2.69280     7.03193     7.24990     4.33913     4.55710
  0.930000     2.72980     7.22494     7.45048     4.49514     4.72068
  0.940000     2.76720     7.42267     7.65602     4.65547     4.88882
  0.950000     2.80500     7.62523     7.86659     4.82023     5.06159
  0.960000     2.84320     7.83269     8.08229     4.98949     5.23909
  0.970000     2.88180     8.04514     8.30322     5.16334     5.42142
  0.980000     2.92080     8.26267     8.52946     5.34187     5.60866
  0.990000     2.96020     8.48536     8.76111     5.52516     5.80091
  1.000000     3.00000     8.71332     8.99826     5.71332     5.99826
