#Grado del polinomio          Aprox. de exp(-10)                    Aprox. de exp(4)                    Aprox. de exp(10)          Polinomio Taylor
         0                   1.0000000000000000                              1.00000                              1.00000          1
         1                   0.0009765625000000                             16.00000                           1024.00000          1+1/1.*x**1
         2                   0.0001048576000000                             39.06250                           9536.74316          1+1/1.*x**1+1/2.*x**2
         3                   0.0000549936667085                             50.56790                          18183.91207          1+1/1.*x**1+1/2.*x**2+1/6.*x**3
         4                   0.0000470954391258                             53.80324                          21233.47862          1+1/1.*x**1+1/2.*x**2+1/6.*x**3+1/24.*x**4
         5                   0.0000456705729301                             54.46850                          21895.93727          1+1/1.*x**1+1/2.*x**2+1/6.*x**3+1/24.*x**4+1/120.*x**5
         6                   0.0000454377384935                             54.57997                          22008.13758          1+1/1.*x**1+1/2.*x**2+1/6.*x**3+1/24.*x**4+1/120.*x**5+1/720.*x**6
         7                   0.0000454045831529                             54.59591                          22024.20836          1+1/1.*x**1+1/2.*x**2+1/6.*x**3+1/24.*x**4+1/120.*x**5+1/720.*x**6+1/5040.*x**7
         8                   0.0000454004406068                             54.59790                          22026.21795          1+1/1.*x**1+1/2.*x**2+1/6.*x**3+1/24.*x**4+1/120.*x**5+1/720.*x**6+1/5040.*x**7+1/40320.*x**8
         9                   0.0000453999803496                             54.59813                          22026.44125          1+1/1.*x**1+1/2.*x**2+1/6.*x**3+1/24.*x**4+1/120.*x**5+1/720.*x**6+1/5040.*x**7+1/40320.*x**8+1/362880.*x**9
        10                   0.0000453999343242                             54.59815                          22026.46358          1+1/1.*x**1+1/2.*x**2+1/6.*x**3+1/24.*x**4+1/120.*x**5+1/720.*x**6+1/5040.*x**7+1/40320.*x**8+1/362880.*x**9+1/3628800.*x**10
